date	close	volume	open	high	low
16/6/17	371.4	6347450	377.975	378.01	370.1
19/6/17	369.8	6433434	375	376.7	367.8
20/6/17	372.24	7419110	376.67	378.88	369.73
21/6/17	376.4	4916770	374.35	376.99	368.02
22/6/17	382.61	7510406	377.99	385	373.57
23/6/17	383.45	6425180	382.45	386.99	379.345
26/6/17	377.49	6596854	386.69	386.95	373.1
27/6/17	362.37	6977494	376.4	376.4	362.02
28/6/17	371.24	6290323	366.68	371.74	362.52
29/6/17	360.75	8202463	370.61	371	354.1
30/6/17	361.61	5823046	363.71	366.7674	359.6187
3/7/17	352.62	6305401	370.24	371.35	351.5
5/7/17	327.09	16998300	347.2	347.24	326.33
6/7/17	308.83	19258040	317.26	320.7899	306.3
7/7/17	313.22	14129950	313.5	317	307.38
10/7/17	316.05	13760290	312.9	317.94	303.13
11/7/17	327.22	11526760	316	327.28	314.3
12/7/17	329.52	10317240	330.4	333.1	324.5
13/7/17	323.41	8582315	330.11	331.6	319.97
14/7/17	327.78	5607924	323.19	328.42	321.22
17/7/17	319.57	9827506	325.54	327.1	313.45
18/7/17	328.24	6360710	317.5	329.13	315.66
19/7/17	325.26	6345884	328.23	331.65	323.2193
20/7/17	329.92	5142516	326.9	330.22	324.2
21/7/17	328.4	4871708	329.46	331.2575	325.8
24/7/17	342.52	8598292	330.24	343.399	330.01
25/7/17	339.6	6977932	345	345.6	334.15
26/7/17	343.85	4809514	340.36	345.5	338.12
27/7/17	334.46	8285879	346	347.5	326.29
28/7/17	335.07	4869891	336.89	339.6	332.51
31/7/17	323.47	8525454	335.5	341.49	321.04
1/8/17	319.57	8284997	323	324.45	316.13
2/8/17	325.89	11942350	318.94	327.12	311.22
3/8/17	347.09	13524270	345.33	350	343.15
4/8/17	356.91	9233295	347	357.27	343.3
7/8/17	355.17	6309331	357.35	359.48	352.75
8/8/17	365.22	7431838	357.53	368.58	357.4
9/8/17	363.53	6881182	361	370	358.95
10/8/17	355.4	7063054	361.6	366.6504	354.66
11/8/17	357.87	4357562	356.97	361.26	353.62
14/8/17	363.8	4507969	364.63	367.66	362.6
15/8/17	362.33	3084601	365.2	365.49	359.37
16/8/17	362.91	3406173	363	366.5	362.52
17/8/17	351.92	5010825	361.21	363.3	351.59
18/8/17	347.46	5390805	352.91	354	345.8
21/8/17	337.86	6489850	345.82	345.82	331.85
22/8/17	341.35	4314268	341.13	342.24	337.3725
23/8/17	352.77	4941947	338.99	353.49	338.3041
24/8/17	352.93	4571574	352.52	356.66	349.74
25/8/17	348.05	3475186	354.24	355.69	347.3
28/8/17	345.66	3746240	347.28	347.35	339.72
29/8/17	347.36	4069303	339.48	349.05	338.75
30/8/17	353.18	3404165	349.67	353.47	347
31/8/17	355.9	4063330	353.55	358.44	352.82
1/9/17	355.4	3048550	356.12	357.59	353.6902
5/9/17	349.59	3836402	353.8	355.49	345.89
6/9/17	344.53	4082001	349.5	350.979	341.56
7/9/17	350.61	4235045	345.98	352.48	343.45
8/9/17	343.4	3261333	348.99	349.78	342.3
11/9/17	363.69	7651000	351.35	363.71	350
12/9/17	362.75	5966204	364.49	368.76	360.4
13/9/17	366.23	4171185	363.82	368.07	359.59
14/9/17	377.64	7170263	364.33	377.96	362.63
15/9/17	379.81	5407227	374.51	380	372.7
18/9/17	385	7177773	380.25	389.61	377.68
19/9/17	375.1	6435208	380	382.39	373.57
20/9/17	373.91	4909958	373	378.249	371.07
21/9/17	366.48	4610872	374.9	376.83	364.51
22/9/17	351.09	8142895	366.49	369.8999	350.88
25/9/17	344.99	7587158	353.15	357.469	342.88
26/9/17	345.25	7149649	350.93	351.24	340.9
27/9/17	340.97	6027375	349.9	351.489	340.5
28/9/17	339.6	5309779	339.88	342.75	335.4
29/9/17	341.1	5099051	341.86	344.68	338.601
2/10/17	341.53	5227547	342.52	343.7	335.51
3/10/17	348.14	10122550	335.9	348.55	331.28
4/10/17	355.01	8147995	351.25	358.62	349.6
